AUC,AUPRC,Sensitivity,Specificity,PPV,NPV,F1,Accuracy,model,fold,split
0.941358024691358,0.9285584332152961,0.8333333333333334,0.8888888888888888,0.8823529411764706,0.8421052631578947,0.8571428571428571,0.8611111111111112,LogisticRegression,1,validation
0.9166666666666667,0.9178941113925635,0.9444444444444444,0.7222222222222222,0.7727272727272727,0.9285714285714286,0.85,0.8333333333333334,LogisticRegression,2,validation
0.947530864197531,0.9477453184070832,0.9444444444444444,0.7777777777777778,0.8095238095238095,0.9333333333333333,0.8717948717948718,0.8611111111111112,LogisticRegression,3,validation
0.9477124183006536,0.9522563402465364,0.8888888888888888,0.7647058823529411,0.8,0.8666666666666667,0.8421052631578948,0.8285714285714286,LogisticRegression,4,validation
0.9215686274509803,0.841475511263953,1.0,0.8235294117647058,0.8571428571428571,1.0,0.923076923076923,0.9142857142857143,LogisticRegression,5,validation
0.9166666666666667,0.892234580005478,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,RandomForest,1,validation
0.9413580246913581,0.951664653784219,0.9444444444444444,0.6111111111111112,0.7083333333333334,0.9166666666666666,0.8095238095238096,0.7777777777777778,RandomForest,2,validation
0.9506172839506173,0.9489749020279712,1.0,0.7222222222222222,0.782608695652174,1.0,0.878048780487805,0.8611111111111112,RandomForest,3,validation
0.9771241830065359,0.980042699340945,1.0,0.8235294117647058,0.8571428571428571,1.0,0.923076923076923,0.9142857142857143,RandomForest,4,validation
0.9509803921568627,0.9391769066369171,1.0,0.8235294117647058,0.8571428571428571,1.0,0.923076923076923,0.9142857142857143,RandomForest,5,validation
0.9259259259259258,0.9022352761903847,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,XGBoost,1,validation
0.925925925925926,0.929777475917939,0.8888888888888888,0.8333333333333334,0.8421052631578947,0.8823529411764706,0.8648648648648649,0.8611111111111112,XGBoost,2,validation
0.9444444444444444,0.943470946059619,0.8888888888888888,0.8333333333333334,0.8421052631578947,0.8823529411764706,0.8648648648648649,0.8611111111111112,XGBoost,3,validation
0.9673202614379085,0.9652812035745474,1.0,0.8823529411764706,0.9,1.0,0.9473684210526316,0.9428571428571428,XGBoost,4,validation
0.9379084967320261,0.8558273289890937,1.0,0.7647058823529411,0.8181818181818182,1.0,0.9,0.8857142857142857,XGBoost,5,validation
